description,assigned_team
"the conference room phone. Hello, Please set up a new extension and voicemail box for a new starter. When can this be fixed?",Telephony
"Help needed — disk encryption (BitLocker). Hi, Disk encryption (bitlocker) is stuck at 0% and won't finish. Thanks in advance.",Endpoint Management
"Question about the DLP policy. Good morning, The dlp policy blocking a legitimate vendor. Also, the DLP policy that quarantined my file. This is blocking my work.",Security
"Not working. Hi team, My laptop won't turn on this morning, nothing happens at all. Let me know what's needed.",Endpoint Management
"Help needed — the antivirus client. Hello, Windows update has been stuck installing for two days, can't use the laptop. This is blocking my work.",Endpoint Management
"Question about the call queue. Hi team, The call queue has no dial tone. Thanks in advance.",Telephony
"Issue. Hi team, The audio is terrible on calls, lots of echo and cutting out. Can you take a look?",Telephony
"Problem: the design software license. Hi, The ERP rejects my purchase order with a validation error every time. Also, the design software license shows the wrong totals on the report.",Applications
"Issue. Hey, My laptop won't turn on this morning, nothing happens at all. This is blocking my work.",Hardware
"Problem. Hi, The audio is terrible on calls, lots of echo and cutting out. Appreciate any help.",Telephony
"Urgent. Hello, Response times are awful today and it keeps stalling. Can you take a look?",Cloud & Infrastructure
"Question about the connection pool. Hello, The connection pool returns 'too many connections'.",Database
"Question about the DLP policy. Hi team, Reporting a colleague's account that is sending spam to the whole company. Let me know what's needed.",Security
"Problem: the firewall rule for the payment vendor. Hello, Reporting a colleague's account that is sending spam to the whole company. Also, the firewall rule for the payment vendor that looks like account takeover. Please advise.",Security
"Urgent: the antivirus alert. Hi, Got an alert that someone signed into my account from Brazil at 3am.",Security
"Request: the design software license. Hi team, The design software license shows a blank screen on the dashboard tab. Also, the design software license says my license has expired. Appreciate any help.",Applications
"the load balancer. Hi team, Cannot reach internal servers from the 4th floor since this morning. Can you take a look?",Network
"Hello, My machine froze and now it won't boot properly. When can this be fixed?",Endpoint Management
"Problem. Working remotely and nothing internal will load, was fine yesterday. Thanks in advance.",Security
"Issue with the headset for calls. Hi, The headset for calls drops calls after a few seconds. Also, the headset for calls has no dial tone. When can this be fixed?",Telephony
"Question. Hey, I'm being refused access to files I'm supposed to see. Let me know what's needed.",Identity & Access
"the expense app. Hey, The ERP rejects my purchase order with a validation error every time. Please advise.",Applications
"Issue. Can't authenticate this morning, nothing I try works. Let me know what's needed.",Security
"Good morning, Strange message landed in my inbox, not sure it's legitimate.",Security
"Issue. Hi, Working remotely and nothing internal will load, was fine yesterday. When can this be fixed?",Security
"Help needed — the external monitor. Good morning, The external monitor has keys that stopped working. Also, the external monitor has several dead pixels. When can this be fixed?",Hardware
"Question about the Kubernetes cluster. Hey, Please provision a new VM with 16GB RAM for the data team's pipeline. Let me know what's needed.",Cloud & Infrastructure
"Problem: the webcam. Hi team, My laptop fell and the screen is now cracked, need a replacement.",Hardware
"Not working. Received an odd message with a link, can someone check it. Appreciate any help.",Email & Collaboration
"Urgent. Hey, I'm completely locked out and can't start my day. Please advise.",Applications
"Urgent: my voicemail. Hi team, Callers say they can hear me but I can't hear them on the softphone. Thanks in advance.",Telephony
"Help needed. Hey, It says my account is locked and I can't get in. Can you take a look?",Email & Collaboration
"Issue with the external monitor. Hi, The external monitor makes a clicking noise on startup. When can this be fixed?",Hardware
"Remote access isn't working, I can't reach anything internal. Let me know what's needed.",Network
"Problem. Hey, An email is asking me to verify my account, looks off to me. This is blocking my work.",Email & Collaboration
"the firewall rule for the payment vendor. Hello, The firewall rule for the payment vendor that I think is a scam. Please advise.",Security
"Help needed. Hello, Everything is really slow today, the whole floor is affected. Let me know what's needed.",Cloud & Infrastructure
"Help needed — the floor printer. Hello, The floor printer has keys that stopped working. Appreciate any help.",Hardware
It says my account is locked and I can't get in. Can you take a look?,Email & Collaboration
Urgent. Login fails every time even though I'm sure the password is right. Let me know what's needed.,Email & Collaboration
"Problem. Good morning, Working remotely and nothing internal will load, was fine yesterday. Please advise.",Network
"Help needed — my security group membership. Hi, My security group membership needs read access to the finance share. Can you take a look?",Identity & Access
"Problem. Strange message landed in my inbox, not sure it's legitimate. Thanks in advance.",Email & Collaboration
"Help needed. Good morning, Can't get onto the company network from home this morning. Let me know what's needed.",Security
"Issue with the expense app. Hi, The ERP rejects my purchase order with a validation error every time. Also, the expense app shows a blank screen on the dashboard tab. When can this be fixed?",Applications
"Question. Hi team, People can't reach me and my calls keep dropping after a second. When can this be fixed?",Telephony
"the reporting database. Hey, Restoring the staging DB from yesterday's dump for a test, can you assist.",Database
"Request: a brute-force alert. Good morning, A brute-force alert I received and did not expect. Let me know what's needed.",Security
"Request: my security group membership. Hi, My security group membership needs admin rights for the deployment tool. Also, my security group membership isn't a member of the right security group. Thanks in advance.",Identity & Access
"Urgent. Hey, I get 'you don't have permission' on a folder I used to reach. This is blocking my work.",Identity & Access
"Not working. Hi team, Everything is really slow today, the whole floor is affected. This is blocking my work.",Database
"Urgent: the docking station. Hi team, The docking station screen flickers constantly. Appreciate any help.",Hardware
"Question. Good morning, People can't reach me and my calls keep dropping after a second. Thanks in advance.",Telephony
"Issue. Hey, The screen keeps going black and I have to restart constantly. Can you take a look?",Hardware
"Problem: the company signature. Good morning, Please add three new people to the 'all-sales' distribution list.",Email & Collaboration
"Help needed — the SharePoint site. Hi team, The sharepoint site lost access for half the team. Also, the SharePoint site is full and rejecting new mail.",Email & Collaboration
"the production EC2 instance. Good morning, The production ec2 instance is running at 100% CPU. Appreciate any help.",Cloud & Infrastructure
"Help needed — the autoscaling group. Hi team, The autoscaling group needs more memory provisioned. Also, the autoscaling group won't scale up under load. Please advise.",Cloud & Infrastructure
"Hey, Performance is terrible right now, everyone is complaining. Please advise.",Network
"Request: the production PostgreSQL instance. Hey, We need an index added on the customer_id column, the report is unusable. When can this be fixed?",Database
"Urgent: the new joiner's account. New employee starts Monday and needs accounts and group access set up. Also, the new joiner's account lost access after the reorg. This is blocking my work.",Identity & Access
"Hi team, I'm completely locked out and can't start my day. When can this be fixed?",Identity & Access
"Question about the VPN. Good morning, The vpn can't reach the 10.x.x.x subnet. When can this be fixed?",Network
"Help needed — my keyboard. Hi, Need the SSD upgraded, I'm constantly out of disk space on this machine. Also, my keyboard is overheating and very loud.",Hardware
"the blob storage. Hey, Staging environment is down after the last deploy, can you roll it back. Also, the blob storage needs more memory provisioned. This is blocking my work.",Cloud & Infrastructure
Not working. Suddenly I'm blocked from a shared resource I need for work. Can you take a look?,Identity & Access
"Issue. Good morning, Response times are awful today and it keeps stalling. Can you take a look?",Cloud & Infrastructure
"Urgent: the design software license. Hi, The design software license shows the wrong totals on the report. When can this be fixed?",Applications
"the Oracle instance. Hi team, The oracle instance is running out of disk on the data volume. Please advise.",Database
"Question about the data warehouse. Hi team, The data warehouse hasn't completed since 2am. When can this be fixed?",Database
"Urgent: the antivirus client. Hey, After the latest patch my laptop boots to a black screen. Also, the antivirus client won't enroll my new device. When can this be fixed?",Endpoint Management
Issue. The system throws an error every time I try to save. Can you take a look?,Applications
"Issue. This email seems fishy and wants my credentials, what do I do. Can you take a look?",Email & Collaboration
"Question about a suspicious login. Hi team, A suspicious login that looks like account takeover. Can you take a look?",Security
"Problem. I can't connect from home today, it just spins and never loads.",Network
"Issue with the design software license. Hello, The design software license shows a blank screen on the dashboard tab. Can you take a look?",Applications
"Issue. Good morning, I can't connect from home today, it just spins and never loads. This is blocking my work.",Security
"Help needed. Hey, Response times are awful today and it keeps stalling.",Cloud & Infrastructure
"Urgent: the laptop fan. Good morning, My laptop fell and the screen is now cracked, need a replacement. Can you take a look?",Hardware
Urgent: the timesheet tool. I need a license assigned for the analytics application for a new team member. Can you take a look?,Applications
"Question about the design software license. Hi team, The ERP rejects my purchase order with a validation error every time. This is blocking my work.",Applications
"Request: my Outlook. Hi team, My outlook shows the wrong free/busy status. Can you take a look?",Email & Collaboration
"Urgent. Hi, Working remotely and nothing internal will load, was fine yesterday. Thanks in advance.",Network
"Question. Hey, Working remotely and nothing internal will load, was fine yesterday. This is blocking my work.",Network
"the expense app. Hey, The expense app needs to be installed on my new laptop. Please advise.",Applications
"Question about the VPN. Hi team, Cannot reach internal servers from the 4th floor since this morning. Let me know what's needed.",Network
"Request: the new joiner's account. Hey, New employee starts Monday and needs accounts and group access set up. Appreciate any help.",Identity & Access
"Question about the Teams channel. Good morning, Cannot book the 5th floor meeting room, it doesn't appear in the room list. Also, the Teams channel isn't syncing on my phone. This is blocking my work.",Email & Collaboration
"Question. Good morning, I can't make or receive any calls since this morning. Thanks in advance.",Telephony
"Urgent: the webcam. Hi, The webcam isn't detected when docked. Appreciate any help.",Hardware
"Problem: the orders table. Hey, The orders table shows replication lag of several hours. This is blocking my work.",Database
"the load balancer. Hi team, Site-to-site tunnel between HQ and the warehouse is down. Thanks in advance.",Network
"Not working. Hi team, Can't authenticate this morning, nothing I try works. When can this be fixed?",Security
"Help needed — my account. Good morning, Offboarding: please disable all access for an employee who left today. Please advise.",Identity & Access
Help needed. Getting an unexpected error and I can't continue with my task. Can you take a look?,Database
"Help needed — the switch in the server room. Hi, Site-to-site tunnel between HQ and the warehouse is down. Can you take a look?",Network
"the CRM. Good morning, The crm freezes when exporting to Excel. Also, the CRM is missing the latest update. This is blocking my work.",Applications
"Help needed. Hello, Everything is really slow today, the whole floor is affected. Can you take a look?",Cloud & Infrastructure
"Problem: the management policy. Hello, Please push the standard software bundle to my freshly imaged laptop. Can you take a look?",Endpoint Management
Urgent: the company VPN client install. Please push the standard software bundle to my freshly imaged laptop.,Endpoint Management
"Problem: the DLP policy. Hey, The dlp policy I received and did not expect. Please advise.",Security
"Not working. Hi team, I can't connect from home today, it just spins and never loads. Thanks in advance.",Network
"Help needed — the hunt group. Good morning, Please set up a new extension and voicemail box for a new starter.",Telephony
"Not working. Hey, Callers say I sound broken up and then the line dies. This is blocking my work.",Telephony
"Help needed — the new joiner's account. Hi team, Offboarding: please disable all access for an employee who left today. Appreciate any help.",Identity & Access
"Request: the hunt group. Hi team, The hunt group needs to be forwarded to my mobile. Also, the hunt group has terrible audio quality. Appreciate any help.",Telephony
"Problem: my calendar. Cannot book the 5th floor meeting room, it doesn't appear in the room list. Also, my calendar shows the wrong free/busy status. When can this be fixed?",Email & Collaboration
"Help needed — the conference room phone. The conference room phone has terrible audio quality. Also, the conference room phone has terrible audio quality. When can this be fixed?",Telephony
"Request: the VLAN on floor 3. Hello, The vlan on floor 3 won't connect at all.",Network
"Issue with the staging environment. Hi team, Please provision a new VM with 16GB RAM for the data team's pipeline. Also, the staging environment ran out of disk and crashed.",Cloud & Infrastructure
disk encryption (BitLocker). Disk encryption (bitlocker) removed an app I need for work. When can this be fixed?,Endpoint Management
"Problem. Hi, Can't authenticate this morning, nothing I try works. Thanks in advance.",Email & Collaboration
"the load balancer. Hey, The load balancer drops whenever I join a video call.",Network
"Question about my mailbox quota. Please add three new people to the 'all-sales' distribution list. Also, my mailbox quota isn't syncing on my phone. Can you take a look?",Email & Collaboration
"Urgent. Permission error opening the drive, I had access last week.",Security
"Problem: the CI/CD runner. Good morning, Staging environment is down after the last deploy, can you roll it back. Appreciate any help.",Cloud & Infrastructure
"Question. Good morning, Something errors out whenever I open my records. Thanks in advance.",Database
"Good morning, The system throws an error every time I try to save. This is blocking my work.",Applications
"Issue with the reporting database. Hello, The reporting database queries are timing out. When can this be fixed?",Database
"the security patch. Good morning, After the latest patch my laptop boots to a black screen. Also, the security patch isn't compliant in the management console. When can this be fixed?",Endpoint Management
"Request: a stored procedure. Hi, We need an index added on the customer_id column, the report is unusable. This is blocking my work.",Database
"Help needed. Hello, Strange message landed in my inbox, not sure it's legitimate. Thanks in advance.",Email & Collaboration
"Question. Hi, People can't reach me and my calls keep dropping after a second. Please advise.",Telephony
"Hi team, Laptop restarts on its own in the middle of my work. Let me know what's needed.",Hardware
"Problem: the CI/CD runner. Hi, The ci/cd runner is stuck in 'pending'.",Cloud & Infrastructure
"Hi, I get 'you don't have permission' on a folder I used to reach. Can you take a look?",Security
"Help needed. Hello, It says my account is locked and I can't get in. Can you take a look?",Identity & Access
"Question. Hello, My laptop won't turn on this morning, nothing happens at all.",Endpoint Management
"Problem. The audio is terrible on calls, lots of echo and cutting out. When can this be fixed?",Telephony
"Urgent: the staging environment. Hello, Requesting a new S3 bucket with read-only access for the analytics group. Please advise.",Cloud & Infrastructure
"Question. Hello, Working remotely and nothing internal will load, was fine yesterday.",Endpoint Management
the meeting invite. The meeting invite lost access for half the team. Appreciate any help.,Email & Collaboration
"Question about the antivirus client. Good morning, The antivirus client failed to install and rolled back.",Endpoint Management
"Request: the internal HR portal. Hey, The ERP rejects my purchase order with a validation error every time. Also, the internal HR portal freezes when exporting to Excel. Please advise.",Applications
"Not working. Everything is really slow today, the whole floor is affected. When can this be fixed?",Database
"Urgent: the antivirus alert. Hey, The antivirus alert I received and did not expect. Please advise.",Security
"Urgent. Good morning, Everything is really slow today, the whole floor is affected. This is blocking my work.",Network
"a possible malware infection. I clicked a link in an email before realising it was fake, what should I do. Also, a possible malware infection that quarantined my file. Thanks in advance.",Security
"Problem: the firewall rule for the payment vendor. Hello, The firewall rule for the payment vendor that I think is a scam. Also, the firewall rule for the payment vendor blocking a legitimate vendor. Appreciate any help.",Security
Problem: the staging environment. The staging environment needs a new node pool added. Can you take a look?,Cloud & Infrastructure
"the company VPN client install. Good morning, The company vpn client install is forcing a restart in the middle of meetings. Let me know what's needed.",Endpoint Management
"Urgent: the load balancer. Hey, The load balancer can't reach the 10.x.x.x subnet. When can this be fixed?",Network
"DNS resolution. Good morning, Dns resolution times out when I open internal sites. Please advise.",Network
"the management policy. Hey, The management policy failed to install and rolled back. Appreciate any help.",Endpoint Management
"Problem. Hi, It says my account is locked and I can't get in. Appreciate any help.",Applications
"the staging environment. The production pods keep getting OOMKilled, need higher limits. Appreciate any help.",Cloud & Infrastructure
"Help needed — the antivirus alert. Hi, The antivirus alert that quarantined my file. Please advise.",Security
"Problem: the data warehouse. Hi, We need an index added on the customer_id column, the report is unusable. Let me know what's needed.",Database
"Problem: the BI dashboard. Hi, The bi dashboard is missing the latest update. Can you take a look?",Applications
"Question about the meeting invite. Good morning, Please add three new people to the 'all-sales' distribution list. Appreciate any help.",Email & Collaboration
"Help needed — the floor printer. Good morning, The floor printer has several dead pixels. Let me know what's needed.",Hardware
"Urgent. Hi team, Working remotely and nothing internal will load, was fine yesterday. When can this be fixed?",Network
"Help needed — the nightly backup job. Hello, The nightly backup job hasn't completed since 2am. Appreciate any help.",Database
Question about the internal HR portal. The internal hr portal freezes when exporting to Excel. Thanks in advance.,Applications
"Help needed — my keyboard. Hey, Requesting a second monitor and a docking station for my new desk. When can this be fixed?",Hardware
"Question about the company signature. Hey, The company signature won't send messages and they stay in Outbox. Also, the company signature won't send messages and they stay in Outbox. This is blocking my work.",Email & Collaboration
"Urgent: my voicemail. Hello, My voicemail has no dial tone. Thanks in advance.",Telephony
"Question about the connection pool. Hello, A SELECT that used to take 1s now takes 40s after the last data load.",Database
"Help needed — the Teams channel. Good morning, The teams channel isn't syncing on my phone. When can this be fixed?",Email & Collaboration
"Urgent: the reporting database. Good morning, Last night's backup failed with an I/O error and didn't retry. Thanks in advance.",Database
Not working. Can't get onto the company network from home this morning.,Network
Help needed — the softphone app. The softphone app shows the wrong caller ID. Thanks in advance.,Telephony
"Question. Hi team, I can't log in this morning, it just keeps rejecting me. Can you take a look?",Identity & Access
Not working. Response times are awful today and it keeps stalling. This is blocking my work.,Cloud & Infrastructure
"Issue. Good morning, Strange message landed in my inbox, not sure it's legitimate. This is blocking my work.",Security
"Request: the expense app. Hey, I need a license assigned for the analytics application for a new team member. When can this be fixed?",Applications
"Issue. Good morning, Callers say I sound broken up and then the line dies. Appreciate any help.",Telephony
"a distribution list. Hello, A distribution list is full and rejecting new mail. Thanks in advance.",Email & Collaboration
"Request: my password. Good morning, My password lost access after the reorg. Appreciate any help.",Identity & Access
"Help needed — my desk phone. Hi, My desk phone has terrible audio quality. Also, my desk phone shows the wrong caller ID.",Telephony
"Issue with the headset for calls. Callers say they can hear me but I can't hear them on the softphone. Also, the headset for calls needs to be forwarded to my mobile. Thanks in advance.",Telephony
"Not working. Hello, Things are crawling and timing out, was fine yesterday.",Cloud & Infrastructure
"Issue with the orders table. Hey, The orders table hasn't completed since 2am. Appreciate any help.",Database
"Urgent. Hi team, Performance is terrible right now, everyone is complaining. Please advise.",Cloud & Infrastructure
"Request: the production PostgreSQL instance. We need an index added on the customer_id column, the report is unusable. Appreciate any help.",Database
"my security group membership. Good morning, Offboarding: please disable all access for an employee who left today. Can you take a look?",Identity & Access
"Help needed. Hello, Received an odd message with a link, can someone check it. Can you take a look?",Security
"Urgent: the Kubernetes cluster. Hi, The production pods keep getting OOMKilled, need higher limits. Also, the Kubernetes cluster ran out of disk and crashed. Please advise.",Cloud & Infrastructure
"Problem. Hi team, The screen keeps going black and I have to restart constantly. Can you take a look?",Hardware
"Issue. Hello, I got a weird email asking me to log in and confirm my password. This is blocking my work.",Security
"Issue with the SharePoint site. The sharepoint site shows the wrong free/busy status. Also, the SharePoint site is full and rejecting new mail. When can this be fixed?",Email & Collaboration
Question about the timesheet tool. The timesheet tool says my license has expired. Can you take a look?,Applications
"Problem: the blob storage. Good morning, The blob storage won't scale up under load. Please advise.",Cloud & Infrastructure
"Question about the data warehouse. Hi team, Last night's backup failed with an I/O error and didn't retry. Thanks in advance.",Database
"Good morning, After this morning my laptop just isn't behaving normally. Let me know what's needed.",Hardware
I got a weird email asking me to log in and confirm my password. Please advise.,Security
the contractor account. I need to be added to the 'Project-Atlas' security group to see the files. Please advise.,Identity & Access
"the VPN. Good morning, The vpn has very high latency. Also, the VPN keeps dropping every few minutes. When can this be fixed?",Network
"Question about the internal HR portal. Hi, The internal hr portal shows the wrong totals on the report. Also, the internal HR portal needs to be installed on my new laptop. Let me know what's needed.",Applications
Issue with the contractor account. Offboarding: please disable all access for an employee who left today. Please advise.,Identity & Access
"Request: the software deployment. Good morning, The software deployment removed an app I need for work. Also, the software deployment is stuck at 0% and won't finish. Please advise.",Endpoint Management
"the Oracle instance. Hi, Restoring the staging DB from yesterday's dump for a test, can you assist. Thanks in advance.",Database
"Good morning, Remote access isn't working, I can't reach anything internal. Please advise.",Security
"Issue with my voicemail. Hey, My voicemail shows the wrong caller ID. Appreciate any help.",Telephony
"Good morning, Strange message landed in my inbox, not sure it's legitimate.",Email & Collaboration
Help needed. Callers say I sound broken up and then the line dies. Let me know what's needed.,Telephony
"Help needed — the nightly backup job. Hello, The nightly backup job queries are timing out. Thanks in advance.",Database
"Problem: the headset for calls. Good morning, The headset for calls shows the wrong caller ID. Also, the headset for calls needs to be forwarded to my mobile. When can this be fixed?",Telephony
"Problem: the blob storage. Good morning, Requesting a new S3 bucket with read-only access for the analytics group. Please advise.",Cloud & Infrastructure
"Issue. Good morning, My laptop won't turn on this morning, nothing happens at all. Thanks in advance.",Hardware
"Question about the Teams channel. Hi, The teams channel is full and rejecting new mail. Also, the Teams channel isn't syncing on my phone. When can this be fixed?",Email & Collaboration
"Request: the Oracle instance. Hi, The oracle instance is throwing deadlock errors. Appreciate any help.",Database
"Urgent: the company signature. The company signature isn't receiving external email. Also, the company signature won't send messages and they stay in Outbox. This is blocking my work.",Email & Collaboration
"Hello, Everything is really slow today, the whole floor is affected. Thanks in advance.",Network
"internet access. Hi team, Cannot reach internal servers from the 4th floor since this morning. Let me know what's needed.",Network
"Request: the hunt group. Hello, The hunt group drops calls after a few seconds. Thanks in advance.",Telephony
Issue. From home I can't connect to any internal systems at all. When can this be fixed?,Endpoint Management
"Problem. Good morning, My password doesn't work anymore and I'm stuck outside. Thanks in advance.",Applications
"Help needed. Good morning, Received an odd message with a link, can someone check it. Let me know what's needed.",Security
"Question about the laptop fan. Hello, The laptop fan has keys that stopped working. When can this be fixed?",Hardware
"the design software license. Hi, The design software license shows a blank screen on the dashboard tab. Also, the design software license shows the wrong totals on the report. Let me know what's needed.",Applications
"Question about the production EC2 instance. Hey, Requesting a new S3 bucket with read-only access for the analytics group.",Cloud & Infrastructure
"the ERP system. Hi team, The erp system says my license has expired. Thanks in advance.",Applications
"Question about my extension. Hi, Callers say they can hear me but I can't hear them on the softphone. Appreciate any help.",Telephony
"Hey, The audio is terrible on calls, lots of echo and cutting out. Thanks in advance.",Telephony
"the headset for calls. Hi team, The headset for calls won't let me access voicemail. Please advise.",Telephony
"Question about the management policy. Good morning, Please push the standard software bundle to my freshly imaged laptop. When can this be fixed?",Endpoint Management
"Help needed. Hello, My machine froze and now it won't boot properly. Let me know what's needed.",Hardware
"Help needed. Good morning, Login fails every time even though I'm sure the password is right. Appreciate any help.",Applications
"Issue with the contractor account. Hello, Please grant me read access to the \\fileserver\finance share. Please advise.",Identity & Access
"Help needed — the load balancer. Hello, The load balancer keeps dropping every few minutes. Also, the load balancer has very high latency. This is blocking my work.",Network
Help needed — my mailbox quota. My mailbox quota shows the wrong free/busy status. Thanks in advance.,Email & Collaboration
"Help needed — the meeting invite. Good morning, The meeting invite won't send messages and they stay in Outbox. Thanks in advance.",Email & Collaboration
"my desk phone. Hello, My desk phone shows the wrong caller ID. Let me know what's needed.",Telephony
"Urgent. Hi team, It keeps failing with an error message I don't understand. When can this be fixed?",Applications
"Urgent: the design software license. Hi, I need a license assigned for the analytics application for a new team member.",Applications
"my keyboard. Hello, My keyboard screen flickers constantly. Thanks in advance.",Hardware
"Problem: the CI/CD runner. Hi team, The ci/cd runner needs a new node pool added. Please advise.",Cloud & Infrastructure
"Urgent: the connection pool. Hi, The connection pool queries are timing out. This is blocking my work.",Database
the headset for calls. The headset for calls has terrible audio quality. Appreciate any help.,Telephony
"Help needed — the external monitor. Hey, The printer on the 2nd floor keeps jamming on every print job. Also, the external monitor has keys that stopped working. This is blocking my work.",Hardware
"Hi, It takes forever to load anything since this morning. When can this be fixed?",Cloud & Infrastructure
"the staging environment. Hello, The staging environment ran out of disk and crashed. When can this be fixed?",Cloud & Infrastructure
"Urgent: the antivirus alert. Hey, Please review whether this attachment is safe before I open it. This is blocking my work.",Security
"Help needed — a distribution list. Hi team, A distribution list won't send messages and they stay in Outbox. Also, a distribution list is full and rejecting new mail. Thanks in advance.",Email & Collaboration
Issue with the autoscaling group. The autoscaling group is running at 100% CPU. Thanks in advance.,Cloud & Infrastructure
"Problem. Hi team, Something errors out whenever I open my records. Please advise.",Applications
Question about the ERP system. The ERP rejects my purchase order with a validation error every time. This is blocking my work.,Applications
"Help needed — the Oracle instance. Good morning, Last night's backup failed with an I/O error and didn't retry. Can you take a look?",Database
"Good morning, Strange message landed in my inbox, not sure it's legitimate. When can this be fixed?",Email & Collaboration
"Urgent. Hi team, Response times are awful today and it keeps stalling. Let me know what's needed.",Cloud & Infrastructure
"Request: my laptop's Windows update. Windows update has been stuck installing for two days, can't use the laptop. Thanks in advance.",Endpoint Management
"Problem. Hi, It says my account is locked and I can't get in. Thanks in advance.",Applications
"Help needed. Hello, Received an odd message with a link, can someone check it. When can this be fixed?",Email & Collaboration
"Help needed. Hey, Response times are awful today and it keeps stalling. When can this be fixed?",Database
"Urgent: the CRM. The ERP rejects my purchase order with a validation error every time. Also, the CRM says my license has expired. Thanks in advance.",Applications
"Problem. Good morning, My password doesn't work anymore and I'm stuck outside. Thanks in advance.",Identity & Access
"the firewall rule for the payment vendor. Hello, Reporting a colleague's account that is sending spam to the whole company. When can this be fixed?",Security
"Question about DNS resolution. Good morning, Dns resolution drops whenever I join a video call. This is blocking my work.",Network
"Request: a brute-force alert. Hi team, A brute-force alert that I think is a scam. This is blocking my work.",Security
"Problem. My laptop won't turn on this morning, nothing happens at all.",Endpoint Management
"Hey, Login fails every time even though I'm sure the password is right. Let me know what's needed.",Identity & Access
"Help needed — the conference room phone. Hey, The support hotline calls aren't reaching the queue, customers complain. Appreciate any help.",Telephony
"Question about the company VPN client install. Hi team, Please push the standard software bundle to my freshly imaged laptop. Can you take a look?",Endpoint Management
"Urgent: my desk phone. Please set up a new extension and voicemail box for a new starter. Also, my desk phone isn't receiving incoming calls.",Telephony
"Request: a flagged attachment. Hi, A flagged attachment that I think is a scam. Can you take a look?",Security
"Not working. Hello, After this morning my laptop just isn't behaving normally.",Endpoint Management
"Help needed — the design software license. Hello, Please install the latest version of the design suite on my machine. This is blocking my work.",Applications
"the hunt group. Hello, Callers say they can hear me but I can't hear them on the softphone. Also, the hunt group isn't receiving incoming calls. Thanks in advance.",Telephony
"Problem: my desk phone. Good morning, Please set up a new extension and voicemail box for a new starter. Also, my desk phone won't let me access voicemail. Let me know what's needed.",Telephony
"Issue with my headset. Hello, My headset has keys that stopped working. Let me know what's needed.",Hardware
"Problem. Hey, Getting an unexpected error and I can't continue with my task. Appreciate any help.",Database
"the laptop battery. My laptop fell and the screen is now cracked, need a replacement. Also, the laptop battery has several dead pixels. Appreciate any help.",Hardware
"Help needed. Hello, The system throws an error every time I try to save. Thanks in advance.",Database
Issue with the softphone app. Callers say they can hear me but I can't hear them on the softphone. When can this be fixed?,Telephony
"Problem: the load balancer. Hey, Site-to-site tunnel between HQ and the warehouse is down. Also, the load balancer times out when I open internal sites. Let me know what's needed.",Network
"Help needed. I can't connect from home today, it just spins and never loads. Appreciate any help.",Endpoint Management
"the shared mailbox. Hello, My sent items are missing after the mailbox migration last weekend. Also, the shared mailbox lost access for half the team. Please advise.",Email & Collaboration
"Urgent: the accounting software. Hello, Please install the latest version of the design suite on my machine.",Applications
"Question about the branch-office link. Good morning, The branch-office link won't connect at all. Also, the branch-office link drops whenever I join a video call.",Network
"Request: my voicemail. Hi team, Callers say they can hear me but I can't hear them on the softphone. Thanks in advance.",Telephony
